Sample in Buffer,Sample in Window,TRIGGER,da_data_OBUF[7:0]
771,771,0,ff
772,772,0,00
773,773,0,00
774,774,0,00
775,775,0,00
776,776,0,00
777,777,0,00
778,778,0,00
779,779,0,00
780,780,0,00
781,781,0,00
782,782,0,00
783,783,0,00
784,784,0,00
785,785,0,00
786,786,0,00
787,787,0,00
788,788,0,00
789,789,0,00
790,790,0,00
791,791,0,00
792,792,0,00
793,793,0,00
794,794,0,00
795,795,0,00
796,796,0,00
797,797,0,00
798,798,0,00
799,799,0,00
800,800,0,00
801,801,0,00
802,802,0,00
803,803,0,00
804,804,0,00
805,805,0,00
806,806,0,00
807,807,0,00
808,808,0,00
809,809,0,00
810,810,0,00
811,811,0,00
812,812,0,00
813,813,0,00
814,814,0,00
815,815,0,00
816,816,0,00
817,817,0,00
818,818,0,00
819,819,0,00
820,820,0,00
821,821,0,00
822,822,0,00
823,823,0,00
824,824,0,00
825,825,0,00
826,826,0,00
827,827,0,00
828,828,0,00
829,829,0,00
830,830,0,00
831,831,0,00
832,832,0,00
833,833,0,00
834,834,0,00
835,835,0,00
836,836,0,00
837,837,0,00
838,838,0,00
839,839,0,00
840,840,0,00
841,841,0,00
842,842,0,00
843,843,0,00
844,844,0,00
845,845,0,00
846,846,0,00
847,847,0,00
848,848,0,00
849,849,0,00
850,850,0,00
851,851,0,00
852,852,0,00
853,853,0,00
854,854,0,00
855,855,0,00
856,856,0,00
857,857,0,00
858,858,0,00
859,859,0,00
860,860,0,00
861,861,0,00
862,862,0,00
863,863,0,00
864,864,0,00
865,865,0,00
866,866,0,00
867,867,0,00
868,868,0,00
869,869,0,00
870,870,0,00
871,871,0,00
872,872,0,00
873,873,0,00
874,874,0,00
875,875,0,00
876,876,0,00
877,877,0,00
878,878,0,00
879,879,0,00
880,880,0,00
881,881,0,00
882,882,0,00
883,883,0,00
884,884,0,00
885,885,0,00
886,886,0,00
887,887,0,00
888,888,0,00
889,889,0,00
890,890,0,00
891,891,0,00
892,892,0,00
893,893,0,00
894,894,0,00
895,895,0,00
896,896,0,00
897,897,0,00
898,898,0,00
899,899,0,00
900,900,0,00
901,901,0,00
902,902,0,00
903,903,0,00
904,904,0,00
905,905,0,00
906,906,0,00
907,907,0,00
908,908,0,00
909,909,0,00
910,910,0,00
911,911,0,00
912,912,0,00
913,913,0,00
914,914,0,00
915,915,0,00
916,916,0,00
917,917,0,00
918,918,0,00
919,919,0,00
920,920,0,00
921,921,0,00
922,922,0,00
923,923,0,00
924,924,0,00
925,925,0,00
926,926,0,00
927,927,0,00
928,928,0,00
929,929,0,00
930,930,0,00
931,931,0,00
932,932,0,00
933,933,0,00
934,934,0,00
935,935,0,00
936,936,0,00
937,937,0,00
938,938,0,00
939,939,0,00
940,940,0,00
941,941,0,00
942,942,0,00
943,943,0,00
944,944,0,00
945,945,0,00
946,946,0,00
947,947,0,00
948,948,0,00
949,949,0,00
950,950,0,00
951,951,0,00
952,952,0,00
953,953,0,00
954,954,0,00
955,955,0,00
956,956,0,00
957,957,0,00
958,958,0,00
959,959,0,00
960,960,0,00
961,961,0,00
962,962,0,00
963,963,0,00
964,964,0,00
965,965,0,00
966,966,0,00
967,967,0,00
968,968,0,00
969,969,0,00
970,970,0,00
971,971,0,00
972,972,0,00
973,973,0,00
974,974,0,00
975,975,0,00
976,976,0,00
977,977,0,00
978,978,0,00
979,979,0,00
980,980,0,00
981,981,0,00
982,982,0,00
983,983,0,00
984,984,0,00
985,985,0,00
986,986,0,00
987,987,0,00
988,988,0,00
989,989,0,00
990,990,0,00
991,991,0,00
992,992,0,00
993,993,0,00
994,994,0,00
995,995,0,00
996,996,0,00
997,997,0,00
998,998,0,00
999,999,0,00
1000,1000,0,00
1001,1001,0,00
1002,1002,0,00
1003,1003,0,00
1004,1004,0,00
1005,1005,0,00
1006,1006,0,00
1007,1007,0,00
1008,1008,0,00
1009,1009,0,00
1010,1010,0,00
1011,1011,0,00
1012,1012,0,00
1013,1013,0,00
1014,1014,0,00
1015,1015,0,00
1016,1016,0,00
1017,1017,0,00
1018,1018,0,00
1019,1019,0,00
1020,1020,0,00
1021,1021,0,00
1022,1022,0,00
1023,1023,0,00
